date,hotel_id,adr
2024-01-01,Hotel_A,133.6
2024-01-02,Hotel_A,148.82
2024-01-03,Hotel_A,151.24
2024-01-04,Hotel_A,129.0
2024-01-05,Hotel_A,135.07
2024-01-06,Hotel_A,147.38
2024-01-07,Hotel_A,144.68
2024-01-08,Hotel_A,147.91
2024-01-09,Hotel_A,142.03
2024-01-10,Hotel_A,156.68
2024-01-11,Hotel_A,156.62
2024-01-12,Hotel_A,151.66
2024-01-13,Hotel_A,160.84
2024-01-14,Hotel_A,156.22
2024-01-15,Hotel_A,146.23
2024-01-16,Hotel_A,156.63
2024-01-17,Hotel_A,146.55
2024-01-18,Hotel_A,161.74
2024-01-19,Hotel_A,154.76
2024-01-20,Hotel_A,154.08
2024-01-21,Hotel_A,150.46
2024-01-22,Hotel_A,165.99
2024-01-23,Hotel_A,155.22
2024-01-24,Hotel_A,153.23
2024-01-25,Hotel_A,153.98
2024-01-26,Hotel_A,161.14
2024-01-27,Hotel_A,159.84
2024-01-28,Hotel_A,160.2
2024-01-29,Hotel_A,160.27
2024-01-30,Hotel_A,173.83
2024-01-31,Hotel_A,153.26
2024-02-01,Hotel_A,152.18
2024-02-02,Hotel_A,149.48
2024-02-03,Hotel_A,160.58
2024-02-04,Hotel_A,164.3
2024-02-05,Hotel_A,153.92
2024-02-06,Hotel_A,147.63
2024-02-07,Hotel_A,147.23
2024-02-08,Hotel_A,158.46
2024-02-09,Hotel_A,158.59
2024-02-10,Hotel_A,156.34
2024-02-11,Hotel_A,145.98
2024-02-12,Hotel_A,152.44
2024-02-13,Hotel_A,150.77
2024-02-14,Hotel_A,150.81
2024-02-15,Hotel_A,155.22
2024-02-16,Hotel_A,149.21
2024-02-17,Hotel_A,152.0
2024-02-18,Hotel_A,146.25
2024-02-19,Hotel_A,147.14
2024-02-20,Hotel_A,148.99
2024-02-21,Hotel_A,131.39
2024-02-22,Hotel_A,139.58
2024-02-23,Hotel_A,137.48
2024-02-24,Hotel_A,135.23
2024-02-25,Hotel_A,137.25
2024-02-26,Hotel_A,150.52
2024-02-27,Hotel_A,130.76
2024-02-28,Hotel_A,144.58
2024-02-29,Hotel_A,122.53
2024-03-01,Hotel_A,132.5
2024-03-02,Hotel_A,135.69
2024-03-03,Hotel_A,138.31
2024-03-04,Hotel_A,138.57
2024-03-05,Hotel_A,138.53
2024-03-06,Hotel_A,128.72
2024-03-07,Hotel_A,127.18
2024-03-08,Hotel_A,137.15
2024-03-09,Hotel_A,128.21
2024-03-10,Hotel_A,119.03
2024-03-11,Hotel_A,119.71
2024-03-12,Hotel_A,121.01
2024-03-13,Hotel_A,131.98
2024-03-14,Hotel_A,128.83
2024-03-15,Hotel_A,132.96
2024-03-16,Hotel_A,123.81
2024-03-17,Hotel_A,128.34
2024-03-18,Hotel_A,131.97
2024-03-19,Hotel_A,124.45
2024-03-20,Hotel_A,130.58
2024-03-21,Hotel_A,121.69
2024-03-22,Hotel_A,124.2
2024-03-23,Hotel_A,124.22
2024-03-24,Hotel_A,117.93
2024-03-25,Hotel_A,131.66
2024-03-26,Hotel_A,124.34
2024-03-27,Hotel_A,128.57
2024-03-28,Hotel_A,132.73
2024-03-29,Hotel_A,132.93
2024-03-30,Hotel_A,135.2
2024-03-31,Hotel_A,129.65
2024-04-01,Hotel_A,127.65
2024-04-02,Hotel_A,131.04
2024-04-03,Hotel_A,118.85
2024-04-04,Hotel_A,121.49
2024-04-05,Hotel_A,123.23
2024-04-06,Hotel_A,126.6
2024-04-07,Hotel_A,138.58
2024-04-08,Hotel_A,128.96
2024-04-09,Hotel_A,134.02
2024-04-10,Hotel_A,148.3
2024-04-11,Hotel_A,135.93
2024-04-12,Hotel_A,145.57
2024-04-13,Hotel_A,133.1
2024-04-14,Hotel_A,139.82
2024-04-15,Hotel_A,134.77
2024-04-16,Hotel_A,140.56
2024-04-17,Hotel_A,150.89
2024-04-18,Hotel_A,131.23
2024-04-19,Hotel_A,149.4
2024-04-20,Hotel_A,148.69
2024-04-21,Hotel_A,142.88
2024-04-22,Hotel_A,136.89
2024-04-23,Hotel_A,149.83
